url,title,price,address,type,cuisine
https://www.hungrygowhere.com/singapore/nassim_hill/,Nassim Hill Bakery Bistro Bar,$$,"#01-03 Tanglin Post Office, 56 Tanglin Road, 247964",Cafe,Desserts • Pizza • Snacks • Western
https://www.hungrygowhere.com/singapore/zafferano/,Zafferano - Italian Restaurant & Lounge,$$$$,"Level 43 Ocean Financial Centre, 10 Collyer Quay, 049315",Restaurant,European • Italian • Western
https://www.hungrygowhere.com/singapore/sofra_turkish_cafe_restaurant/,Sofra Turkish Cafe & Restaurant,$$,"#02-42/43/44 Shaw Towers, 100 Beach Road, 189702",Cafe,Halal • Iranian • Mediterranean • Middle Eastern • Turkish
https://www.hungrygowhere.com/singapore/toby-s-estate/,Toby's Estate,$,"#01-03/04 Robertson Quay, 8 Rodyk Street, 238216",Cafe,Australian • Western
https://www.hungrygowhere.com/singapore/manna_korea_telok_ayer/,Manna Korean Restaurant,$$,"101 Telok Ayer Street, 068574",Restaurant,Asian • Korean
https://www.hungrygowhere.com/singapore/Fat_Cow_/,Fat Cow,$$$$,"#01-01/02 Camden Medical Centre, 1 Orchard Boulevard, 248649",Bar or Pub,Asian • Japanese • Steak and Grills • Wine
https://www.hungrygowhere.com/singapore/sin-heng-kee-porridge-yishun/,Sin Heng Kee Porridge (Chong Pang),,"#01-19/21, 101 Yishun Avenue 5, 760101",Restaurant,Chinese
https://www.hungrygowhere.com/singapore/indo-chili-zion-road/,IndoChili (Zion Road),$$,"54 Zion Road, 247779",Restaurant,Asian • Halal • Indonesian • Malay • Malay / Indonesian
https://www.hungrygowhere.com/singapore/brotzeit_german_bier_bar_restaurant_raffles_city/,Brotzeit (Raffles City),$$,"#01-17 Raffles City Shopping Centre, 252 North Bridge Road, 179103",Bar or Pub,Beer • European • German • Italian • Pizza • Western • Wine
https://www.hungrygowhere.com/singapore/noodle-thai-thai-kitchen-bugis-beach-road/,Noodle Thai Thai Kitchen (Beach Road),$,"Kampong Glam Conservation Area, 327 Beach Road, 199560",Restaurant,Thai
https://www.hungrygowhere.com/singapore/summer-pavilion-suntec--city-hall/,Summer Pavilion,$$$$,"The Ritz-Carlton, Millenia Singapore, 7 Raffles Avenue, 039799",Restaurant,Asian • Cantonese • Chinese • Dim Sum • Hong Kong
https://www.hungrygowhere.com/singapore/carousel/,Carousel,$$$,"Lobby Level Royal Plaza On Scotts, 25 Scotts Road, 228220",Restaurant,Halal • International
https://www.hungrygowhere.com/singapore/g7_sin_ma_live_seafood_restaurant_geylang/,G7 Sinma Live Seafood Restaurant (Geylang),$$,"#01-01/02, 161, 163 Geylang Road Lorong 3, 389239",Restaurant,Chinese • Local • Seafood • Singaporean • Zi Char
https://www.hungrygowhere.com/singapore/peony_jade_restaurant_keppel_club/,Peony Jade Restaurant (Keppel Club),$$$,"Level M Keppel Club, 10 Bukit Chermin Road, 109918",Restaurant,Asian • Cantonese • Chinese • Dim Sum • Sichuan
https://www.hungrygowhere.com/singapore/indo-chili-zion-road/,IndoChili (Zion Road),$$,"54 Zion Road, 247779",Restaurant,Asian • Halal • Indonesian • Malay • Malay / Indonesian
